iter	Passed	Remaining
0	13	4155
1	27	4128
2	44	4402
3	62	4640
4	80	4754
5	97	4774
6	114	4798
7	131	4789
8	149	4832
9	166	4814
10	183	4821
11	198	4758
12	214	4727
13	231	4720
14	248	4715
15	264	4702
16	280	4676
17	297	4666
18	314	4651
19	333	4664
20	350	4662
21	366	4633
22	383	4615
23	399	4596
24	416	4577
25	433	4563
26	449	4541
27	463	4501
28	480	4490
29	495	4456
30	513	4459
31	528	4422
32	545	4410
33	559	4380
34	575	4358
35	592	4345
36	607	4317
37	624	4305
38	641	4295
39	656	4268
40	671	4241
41	688	4231
42	705	4219
43	724	4215
44	745	4226
45	760	4200
46	776	4178
47	791	4152
48	806	4133
49	825	4125
50	840	4103
51	856	4084
52	872	4065
53	890	4055
54	905	4032
55	927	4040
56	947	4039
57	969	4044
58	991	4052
59	1018	4075
60	1043	4086
61	1059	4065
62	1075	4046
63	1093	4030
64	1109	4010
65	1125	3989
66	1139	3964
67	1157	3949
68	1174	3930
69	1190	3911
70	1206	3889
71	1221	3866
72	1237	3847
73	1253	3828
74	1268	3806
75	1285	3788
76	1301	3768
77	1316	3746
78	1333	3730
79	1351	3716
80	1366	3694
81	1383	3677
82	1399	3659
83	1418	3647
84	1432	3623
85	1448	3605
86	1464	3586
87	1482	3571
88	1497	3549
89	1514	3534
90	1531	3517
91	1548	3501
92	1565	3484
93	1581	3466
94	1598	3449
95	1613	3429
96	1628	3408
97	1645	3392
98	1661	3374
99	1678	3357
100	1695	3341
101	1713	3325
102	1731	3312
103	1749	3296
104	1768	3284
105	1784	3266
106	1800	3247
107	1818	3232
108	1834	3213
109	1852	3199
110	1868	3181
111	1883	3162
112	1899	3142
113	1913	3121
114	1927	3100
115	1943	3083
116	1959	3064
117	1977	3050
118	1999	3041
119	2020	3030
120	2033	3008
121	2050	2991
122	2066	2973
123	2081	2953
124	2097	2937
125	2113	2918
126	2130	2902
127	2147	2886
128	2163	2868
129	2180	2851
130	2195	2832
131	2212	2816
132	2229	2799
133	2245	2781
134	2261	2764
135	2277	2746
136	2293	2728
137	2307	2708
138	2323	2690
139	2339	2673
140	2355	2656
141	2370	2637
142	2386	2620
143	2403	2603
144	2419	2586
145	2435	2568
146	2451	2551
147	2468	2534
148	2482	2516
149	2500	2500
150	2517	2483
151	2531	2465
152	2548	2449
153	2564	2431
154	2581	2415
155	2598	2398
156	2614	2381
157	2628	2362
158	2644	2345
159	2659	2327
160	2679	2313
161	2696	2296
162	2712	2280
163	2727	2262
164	2743	2244
165	2760	2228
166	2776	2211
167	2797	2197
168	2813	2180
169	2830	2164
170	2847	2147
171	2864	2132
172	2881	2115
173	2897	2097
174	2914	2081
175	2931	2065
176	2946	2047
177	2964	2031
178	2980	2015
179	2997	1998
180	3014	1981
181	3030	1964
182	3046	1947
183	3061	1930
184	3077	1913
185	3093	1896
186	3110	1879
187	3127	1862
188	3143	1845
189	3159	1829
190	3174	1811
191	3188	1793
192	3205	1776
193	3219	1759
194	3235	1742
195	3248	1723
196	3264	1706
197	3280	1689
198	3296	1672
199	3312	1656
200	3328	1639
201	3344	1622
202	3360	1605
203	3376	1589
204	3394	1573
205	3410	1556
206	3426	1539
207	3443	1522
208	3459	1506
209	3475	1489
210	3491	1472
211	3505	1455
212	3520	1437
213	3537	1421
214	3552	1404
215	3568	1387
216	3582	1370
217	3596	1352
218	3611	1335
219	3626	1318
220	3642	1301
221	3657	1285
222	3673	1268
223	3689	1251
224	3706	1235
225	3722	1218
226	3736	1201
227	3751	1184
228	3765	1167
229	3782	1151
230	3796	1133
231	3810	1116
232	3828	1100
233	3844	1084
234	3856	1066
235	3872	1050
236	3889	1033
237	3904	1017
238	3921	1000
239	3936	984
240	3953	967
241	3966	950
242	3983	934
243	4000	918
244	4016	901
245	4029	884
246	4041	867
247	4057	850
248	4070	833
249	4086	817
250	4100	800
251	4116	784
252	4137	768
253	4151	751
254	4164	734
255	4181	718
256	4200	702
257	4218	686
258	4234	670
259	4248	653
260	4265	637
261	4281	620
262	4295	604
263	4312	588
264	4326	571
265	4343	555
266	4359	538
267	4376	522
268	4391	506
269	4408	489
270	4423	473
271	4438	456
272	4452	440
273	4468	424
274	4482	407
275	4497	391
276	4514	374
277	4544	359
278	4568	343
279	4582	327
280	4598	310
281	4612	294
282	4627	277
283	4644	261
284	4661	245
285	4675	228
286	4694	212
287	4711	196
288	4727	179
289	4743	163
290	4760	147
291	4778	130
292	4792	114
293	4809	98
294	4826	81
295	4842	65
296	4859	49
297	4877	32
298	4894	16
299	4909	0
